measure_id,measure_name,short_description,type_of_strategy_or_measure,quantified_objective,indicative_budget_and_sources_of_financing,bodies_responsible_for_implementation,estimated_impact,state_of_implementation,date_of_entry_into_force,implementation_period
AT_118,Increase in the renewable share of heat application,KPC co-funding,Funding strategy,Increase of the renewable share to over 90% in district heating,€ 4 million/year,"Dept. 15 – Location, Spatial Planning and Energy",Achievement of the 90% target,enforcement,1.1.2025,until 31.12.2025
AT_119,Increasing the share of renewables in district heating and cooling,"After 31. December 2018 is prohibited in the Lower Austrian BO 2014, § 58 (1a) the installation of fossil liquid and solid fuels operated central heating systems in the new building. In the case of fossil gaseous fuels, a ban on installation in new buildings was regulated by the Renewable Heat Act (EWG) from 29 February 2024. The State of Lower Austria is providing co-financing for the promotion of decarbonised district heating supplies within the framework of environmental support in Germany.",,"In the context of district heating support, the phase-out of fossil fuels is planned by 2040.",,,,constantly,,
AT_120,Infopoint for housing improvement,"The City of Vienna offers the opportunity for a personal, invaluable consultation to answer questions about comprehensive refurbishment and possible subsidies in detail. https://www.wien.gv.at/wohnen/infopoint-foerderung-beratung",technical and promotion law advice,"The thermal-energy renovation is to be further increased, with a focus on the decarbonisation of buildings.",subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",High-quality planning and implementation of private refurbishments.,constantly,,unlimited
AT_121,Innsbrucker Kommunalbetriebe AG,The Innsbrucker Kommunalbetriebe Aktiengesellschaft (IKB) is the central supply and disposal company of the city of Innsbruck. It ensures that the city's infrastructure functions reliably on a daily basis and is also maintained for future generations.,"Consultations: technical, economical, ecological",Maintaining the central infrastructure of the City of Innsbruck; helping households and businesses to reduce electricity consumption.,Budget of the City of Innsbruck,Innsbrucker Kommunalbetriebe AG Salurner Straße 11 6020 InnsbruckE-Mail: kundenservice@ikb.at Web: https://www.ikb.at/energy/energy consulting,Implementation of energy efficiency measures; improved spatial energy planning and energy supply concepts,constantly,,constantly
AT_122,Installation and conversion/retrofitting of existing heating systems,The City of Vienna promotes the construction and conversion or retrofitting of highly efficient alternative heating systems using renewable energy sources or district heating. https://www.wien.gv.at/amtshelfer/bauen-wohnen/wohnbaufoerde- rung/wohnungsbesser/heizungsinstallationen.html,Financial support measures,Upgrading Viennese building stock to zero-emission heat supply by 2040,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Reduction of fossil-fuelled heating systems,constantly,,unlimited
AT_123,"""Kärntner Bildungsbaufonds""",The mission of the Fund is to support the statutory school staff in the provision and refurbishment of compulsory school buildings and children's education and care facilities of the municipalities.,The Fund shall prioritise the implementation of training centres or training camps.,Depending on requirements and free conveying volume (perpend. 10-15 projects),"State and municipal funds (45% state share; 55% municipality share) with a total budget of € 12,500,000 for 2025 (€ 11,400,000 for 2026, € 9,200,000 for 2027, € 5,800,000 for 2028)",Department 3 – Sub-Department of Economic Community Supervision and Fund Management,"Optimization of the public building stock: Through the spatial integration of schools and children's education and care facilities of various types, the area can be used to the best possible extent and synergies can be created. Municipal education and care facilities that are no longer required can now be sold.",Ongoing funding programme,"01.01.2023 Kärntner Bildungsbaufonds (formerly and from 2009 Kärntner Schulbaufonds); before that, 3 funding programmes starting in the 1960s",unlimited
AT_124,"""Kärntner Bildungsbaufonds""",The mission of the Fund is to support the statutory school staff in the provision and refurbishment of compulsory school buildings and children's education and care facilities of the municipalities.,The Fund shall prioritise the implementation of training centres or training camps.,Depending on requirements and free conveying volume (perpend. 10-15 projects),"State and municipal funds (45% state share; 55% municipality share) with a total budget of € 12,500,000 for 2025 (€ 11,400,000 for 2026, € 9,200,000 for 2027, € 5,800,000 for 2028)",Department 3 – Sub-Department of Economic Community Supervision and Fund Management,"Optimization of the public building stock: Through the spatial integration of schools and children's education and care facilities of various types, the area can be used to the best possible extent and synergies can be created. Municipal education and care facilities that are no longer required can now be sold.",Ongoing funding programme,"01.01.2023 Kärntner Bildungsbaufonds (formerly and from 2009 Kärntner Schulbaufonds); before that, 3 funding programmes starting in the 1960s",unlimited
AT_125,Labour Market Strategy 2021+ of the Province of Carinthia,"The 2021+ labour market strategy aims to strengthen the labour market in Carinthia, increase the employment rate and reduce youth unemployment. It includes various measures to promote employment, skills and entrepreneurship.",,,"The strategy is an umbrella strategy supported by the various sub- budgets of employee support, TEP and ESF+ funds.","Division 11 – Study group on the labour market of the Province of Carinthia, in cooperation with educational institutions, businesses and social partners.","Expected increase in employment rate, reduction of youth unemployment, improvement of skills and competences of the workforce.","The strategy was presented in 2021 and is currently being implemented. Regular evaluations and adjustments are carried out. By the end of 2025, there should be a new labour market strategy.",01.01.2021,2021-2025
AT_126,Long Day of Energy,"The Long Day of Energy is an event in Styria where various energy venues, such as power plants, heating plants and companies in the energy sector, open their doors to the public.",,,,"A15 Energy, housing, technology",Model effect Styria,constantly,constantly,constantly
AT_127,"Lower Austrian Building Code 2014, § 64 Design of parking facilities for motor vehicles","(3) If a building is erected, enlarged or subjected to a major renovation in the course of which the electrical infrastructure is changed, or if its purpose is changed, the mandatory parking spaces belonging to the building or to the modified or enlarged part of the building are - with a line infrastructure for the subsequent installation of charging points for electric vehicles, consisting of empty conduits or cable cups for electric cables, space reserves for electricity meters and electricity distributors, sufficient dimensioning of the house connection lines and the like; and - provide recharging points for electric vehicles in accordance with paragraphs 4 to 7. (4) In the case of buildings with more than two dwellings, the pipeline infrastructure for the subsequent installation of recharging points for electric vehicles with an output of at least 11 kW shall be established for all obligatory places in the dwellings. (5) For buildings with non-public parking spaces which have more than 10 mandatory spaces for non-residential use: - for at least one parking space per 5 mandatory parking spaces started, establish the line infrastructure for the subsequent installation of recharging points for electric vehicles with an output of at least 22 kW each and - for at least one mandatory parking space, a recharging point for electric vehicles with an output of at least 22 kW.",Building regulations,Increase the number of charging points,,,Retrofitting and upgrading a modern and sustainable mobility infrastructure,,,constantly
AT_128,"Measure GR.1.7 ""Energy and sustainability-relevant fjords for all residential buildings""",The measure Gr.1.7 is part of the Tyrolean sustainability and sustainability strategy of the state of Tyrol and aims to further promote the refurbishment and energy-efficient new construction of residential buildings in Tyrol through targeted fjords.,promotions in economic terms; awareness-raising activities;,"targeted subsidies; the refurbishment and energy-efficient new construction of residential buildings; standardization and improvement of existing funding programmes as well as the ongoing adaptation to current technological and legal developments; The focus is on refurbishments, energy-efficient new buildings as well as the combination of climate protection and spatial planning.",Administration by the Department of Housing Development at the Office of the Tiro ler Provincial Government,"Department of Housing Development, Office of the Tyrolean State Government",Conversion of heating systems from fossil fuels to renewable energies; standardisation and improvement of existing support programmes,constantly,"May 2021 Decision of the Tyrolean Sustainability and Climate Strategy ""Living with a Future""","2021 to 2030 interim target, interim scenario from 2030 to 2040, period 2021 to 2050"
AT_129,Municipal compensation fund,"Funding is provided in the form of non-repayable grants. The performance of GAF funds may be subject to conditions relating to the maintenance or establishment of equilibrium in the house of the municipality or to the purpose of the subsidy. The amount of support is essentially determined by the calculation results of the plinth support system with the corresponding increases and reductions. The subsidy amount according to the base subsidy system with the corresponding surcharges and discounts is calculated net by the deviation of the municipality's financial power head ratio from the national average, by fixed limit values, by surcharges on the calculated GAF subsidy and by increasing the calculated subsidy. Dominating areas of support are compulsory schools, kindergartens, retirement homes, streets, municipal offices and fire brigades.",economic,,Appropriations from the income shares of the municipalities in the Community federal levies,State of Salzburg: Office of the State Government of Salzburg - Department for Touris mus and Municipal Financing,"Incentives for new construction and renovations that support the achievement of the requirements of ZEB even before the legal obligation; the aim of this subsidy supplement is to increase the ecological and energy-efficient quality of construction projects by providing incentives for the use of sustainable building materials and energy-efficient construction methods. The award of award points is intended to promote the planning and implementation of construction projects that have a low environmental footprint and contribute to the reduction of greenhouse gas emissions in the long term. At the same time, the aim is to strengthen resource conservation and sustainability in the construction sector in order to meet the requirements of climate protection and the energy transition.",yearly,current guideline since 1.1.2024,yearly
AT_130,"""Municipal energy accounting – KEB""","This web-based tool simplifies energy accounting and reduces the workload in the municipal administration to a minimum by automatically collecting smart meter data. The digi talen consumption data are imported into the program on a daily basis - independent of the energy supplier. If there is no smart meter, the meter reading can be read and entered using the mobile phone app and QR code on the meter di reckt. In addition to electricity consumption, the KEB also maps consumptions of heat, water and tank filling as well as electricity generation (e.g. PV system). The use of the tool is free of charge for Carinthian municipalities, the KEM regions and individual specialist departments of the state.",Awareness-raising action,Use by all 132 Carinthian municipalities,Financing of development by the Province of Carinthia,"Dept. 15 – Location, Spatial Planning and Energy",Increase in participating municipalities,"As of 1.9.2025, around 100 of the 132 Carinthian municipalities are using the program",2020,From 2020 to today
AT_131,Municipal energy plan,"Benefits of the Municipal Energy Plan for municipalities in the context of EED III (Articles 5 and 6) The Energy Efficiency Directive (EED III) requires municipalities to implement measures to improve energy efficiency. A structured energy concept specifically supports municipalities in complying with these regulations and at the same time brings environmental and economic advantages. 1. Public bodies must reduce their energy consumption by at least 1.9% per year (Article 5) 2. As of October 2025, at least 3% of heated/cooled public buildings >250m ² must be refurbished to nearly zero-energy buildings per year (Article 6) The energy concept helps by: a) Systematic recording and analysis of the energy consumption of public buildings using software; b) Identification of recovery needs and prioritisation of efficiency measures; c) increase energy savings through targeted optimisation and modernisation; d) Compliance with the recovery rate by planning and documenting measures in cash; e) integration of renewable energies to reduce reliance on fossil fuels; f) Transparent reporting to meet legal requirements wisely. A holistic energy concept makes it easier for municipalities to implement the EED III Directive by enabling structured planning, optimisation and control of energy-saving measures. As a result, not only legal requirements are met, but also long-term cost savings and sustainability goals are achieved.",Advantages of an economic and ecological nature,The Energy Efficiency Directive (EED III) requires municipalities to implement measures to improve energy efficiency. A structured energy concept specifically supports municipalities in complying with these regulations and at the same time brings environmental and economic advantages.,,Energy consulting Burgenland,Assistance in the planning and implementation of effective concepts.,constantly,,constantly
AT_132,Municipal service Styria,"The community service serves as a contact point to advise and support communities in the implementation of sustainable projects. As a knowledge and consulting hub for topics relating to energy and climate at the municipal level and the associated combination of competencies, the municipality is further strengthened as a strong partner in the implementation of climate and energy goals. In this way, a sustainable and green Styria is to be ensured together. More information can be found at www.gemeindeservice-stmk.at",Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,Support of the municipalities in Styria in the implementation of the state strategies including climate and energy strategy as well as the use of the platform as a knowledge and networking hub.,,"Department 15 Energy, Housing and Technology",Improving energy efficiency Expansion of renewable energies Platform as a knowledge and networking hub,constantly,constantly,constantly
AT_133,Municipality of Vils: Photovoltaic installation with battery storage City Hall and kindergarten,a photovoltaic system with 20 kWp and 15 kWp power (both with battery storage) was installed by the municipality of Vils near the town hall and the Kin dergarten.,economic policy measure; awareness-raising measure,"Own-account electricity, electricity cost reduction","Own resources, allocation of needs, loans, provincial or federal financing",Municipality of Vils,"Improvement of infrastructure, citizen awareness, reduction of energy costs",implementation,2024,2024-2025
AT_134,National minimum energy performance standards,"The minimum thresholds for non-residential buildings required by Article 9 have been incorporated into OIB Directive 6, Edition Septem ber 2025. Due to the lack of national coordination (with regard to trigger points and interference with existing law) and the implementation obligation only as of May 2026, there are still no concrete implementation strategies for the residential building stock.",,,,,,,,
AT_135,National minimum energy performance standards referred to in Article 9,"The establishment of thresholds for new and renovated zero mission buildings (see point 5) and minimum energy performance standards for non-residential buildings (see point 6) set national minimum standards. As regards financial incentives for renovation, see point 3.3 (with the aim that renovations will benefit tenants through reduced operating costs). As far as protection is concerned, there are, for example, rent subsidies/housing allowances or upper limits for rent increases (rent price caps) in Austria.","Federal and state funding programmes, legislative measures",Renovation of the worst building stock in accordance with the provisions of Directive (EU) 2024/1275 and long-term renovation of the nati onal stock of residential and non-residential buildings into a highly energy efficient and decarbonised building stock by 2050 with the aim of converting existing buildings into zero-emission buildings.,from the current budget of the Federal Government and the State of Upper Austria,Federal Government and Land,"Renovation of the national housing and non-residential stock into a highly energy efficient and decarbonised building stock by 2050, with the aim of converting existing buildings into zero-emission buildings.",constantly,Ongoing since 2007,constantly
AT_136,National requirements for non-residential buildings according to OIB guideline 6 (energy saving and thermal insulation),"National minimum standards were set out in the OIB Directive 6, September 2025 edition, under point 5 ‘Minimum standards – Article 9 thresholds’.",Legislative action,"The gradual renovations of the non-residential building stock and the residential building stock will have to be legislated in accordance with the thresholds required. The legislative implementation of the OIB Directive 6, issue September 2025, is to take place in the Burgenland Building Ordinance.","With regard to financial incentives, reference may be made to the implementation of point 3.3.",Implementation in the respective state law,Reduction of final energy consumption,constantly,,constantly
AT_137,National requirements for non-residential buildings according to OIB guideline 6 (energy saving and thermal insulation),"National minimum standards were set out in the OIB Directive 6, September 2025 edition, under point 5 ‘Minimum standards – Article 9 thresholds’. Implementation is carried out in the building technology regulations of the Länder. Link: https://www.oib.or.at/",Legistic implementation: § 82 Stmk. Building Act in conjunction with the Stmk. Building technology ordinance,,,Implementation in the respective state law,"Reduction of final energy consumption, improvement of energy efficiency","The adoption of the Construction Technology Ordinance for the binding declaration of the OIB Directive 6, issue September 2025, is planned in the first half of 2026.",open,open
AT_138,National requirements for non-residential buildings according to OIB guideline 6 (energy saving and thermal insulation),"National minimum standards were set out in the OIB Directive 6, September 2025 edition, under point 5 ‘Minimum standards – Article 9 thresholds’. Implementation is carried out in the building technology regulations of the Länder. https://www.oib.or.at/wp-content/uploads/oib-rl _6 _september _2025.pdf",legislative,,Non-budgetary,Implementation in the respective state law,Reduction of final energy consumption,constantly,Current 2024 edition,constantly
AT_139,Network Energy consulting Styria,"The Network Energy Consulting Styria should offer a clear orientation help and optimize the quality of the energy consulting! The training and further education for the consultants is carried out in accordance with the guidelines of the ARGE EBA (Arbeitsgemeinschaft Energieberater:innen- Ausbildung) of the Austrian federal states. In Styria, this training has been extended and improved in cooperation with WIFI Styria.",,,,"A15 Energy, housing, technology",Improving the quality of advice Implementation of energy efficiency measures Increase in the share of renewables in Styria,constantly,constantly,constantly
AT_140,OIB document proving the cost-optimal nature of the requirements of OIB Directive 6 pursuant to Article 5 of 2010/31/EU – Second revi sion after 10 years of 30 January 2024,It will be examined whether the cost-optimality calculations of the OIB (https://www.oib.or.at/Directives/oib-Directives-2023/oib-Directive-6- cost- optimality-2024) can be transposed into Land law by means of the amendment of the Lower Austria BTV 2014.,,,,,,,,
AT_141,OIB document to demonstrate cost optimisation,"In accordance with the requirements of Directive (EU) 2024/1275, the OIB calculates cost-optimal levels of minimum energy performance requirements every 5 years. These are the basis for all requirements laid down in the Building Act and funding guidelines. Link: https://www.oib.or.at/",Legal implementation Styrian Building Act (Steiermärkisches Baugesetz) Link: https://www.ris.bka.gv.at/ Styrian Housing Promotion Act 1993 Link: https://www.ris.bka.gv.at,cost-optimal technical-energetic building renovation,"Department 15 Energy, Housing and Technology",Implementation in the respective state law,Cost-optimized technical-energetic building renovation and new construction • Reduction of final energy consumption • Improving energy efficiency,• Expansion of renewable energy constantly,Current 2024 edition,constantly
AT_142,OIB document to demonstrate cost optimisation,"In accordance with the requirements of Directive (EU) 2024/1275, the OIB calculates cost-optimal levels of minimum energy performance requirements every 5 years. These are the basis for all requirements laid down in the building regulations and funding guidelines. Link: https://www.oib.or.at/",Technical and economical,,,Implementation in the respective state law,cost-optimal technical-energetic building renovation and new construction,constantly,Current 2024 edition,constantly
AT_143,Obligation under building law,"According to Section 118(3b), new buildings, with the exception of residential buildings and buildings which serve exclusively or predominantly educational purposes, shall be constructed using solar energy sources on building surfaces with a peak rated output of at least 1 kWp per 100 m ² conditioned gross floor area or other technical systems for the use of environmentally friendly energy sources with the same output on the building.",Legislative building regulation,Increasing the share of renewables,,"Business Group for Housing, Housing, Urban Renewal and Women",Increasing the share of renewables,enforcement,,constantly
AT_144,On-site energy consulting for residential buildings (netEB),The aim is to reduce energy consumption and switch to renewable energy sources in residential buildings and apartments.,Financial support measure,"According to the energy master plan Carinthia, the goal is 7,000 energy consultations per year.",approx. €2 million in 2024,"Dept. 15 – Location, Spatial Planning and Energy","Carinthian households are supported in the course of energy consulting in the conversion to renewable energy sources and the sustainable reduction of energy demand. The main topics of the on-site consultations are the improvement of the thermal insulation of the building envelope, the optimisation/renewal of the heating system (in particular ""out of fossil fuels""), the use of solar energy (photovoltaics), the avoidance of summer overheating and tips for saving electricity. The recommendations are company- and product-neutral and are summarized in a protocol with the reference to possible funding agencies and stored in a country database.",constantly,2009,constantly
AT_145,Optimization of existing heating systems,"In addition to thermal-energetic refurbishment, the optimisation of building services technology is an essential aspect for better energy efficiency and thus cost reduction in the room heating sector. In addition, this can usually be implemented with relatively small resources. However, if a building technology optimization is not carried out, theoretically calculated energy savings can often not be achieved in practice before initiated house renovations. Implementation-oriented solutions have been developed in the Da geht no was project. https://www.wien.gv.at/special/wieneuplus-innerfavorites/building-and- energy/da- geht-no-was-house technology optimisation/",Awareness-raising action,Energy efficiency increase of central heating systems,from the current budget of the City of Vienna,"Business Group for Housing, Housing, Urban Renewal and Women","Increased energy efficiency, especially in thermally refurbished buildings.",constantly,,constantly
AT_146,Phase out oil boiler,Promoting the transition from fossil-fuel heating systems to renewables Energy sources for private and commercial use Creation of support measures for low-income households Intensification of energy advice for households and businesses to avoid switching from oil to gas as much as possible,Legislative and economic,"-184,000 tonnes CO2 equivalent/a",,,"Replacement of 26,000 oil boilers Reduction of fossil energy imports of heating oil by €28.5 million/a Reduction of heating costs for households by €20 million/a",,,by 2030
AT_147,Phase out oil boiler,Promoting the transition from fossil-fuel heating systems to renewables Energy sources for private and commercial use Creation of support measures for low-income households Intensification of energy advice for households and businesses to avoid switching from oil to gas as much as possible,Legislative and economic,"-184,000 tonnes CO2 equivalent/a",,,"Replacement of 26,000 oil boilers Reduction of fossil energy imports of heating oil by €28.5 million/a Reduction of heating costs for households by €20 million/a",,,by 2030
AT_148,Pilot study analysing existing contact points as one-stop-shops for energy poverty reduction consultations,"The aim of the project is to carry out a pilot study on the implementation of one-stop shops to combat energy poverty in the Bun desländer. Specifically, a guideline including four to five exemplary federal state concepts is to be developed to support the federal states (Module 1). Furthermore, the client is guided in the development of stakeholder- coordinated support packages (Module 2).",Pilot study,,"Total costs: Module 1: € 62.480,00 Module 2 (optional): € 31,168.80 from the Climate and Energy Fund",Client: Coordination Centre for Combating Energy Poverty / Climate and Energy Fund Contractor: Umweltbundesamt GmbH,The pilot study is to evaluate the status quo and work on practical implementation routes for the implementation of OSS in the federal states that meet the requirements of the EU directives. The implementation paths for OSS are illustrated using the pilot example of four to five different federal states in Austria. The objective is to ensure that the OSS is accessible to vulnerable and low-income households.,constantly,01.08.2025,31.03.2026
AT_149,Preparatory infrastructure measures for e-mobility,Promotion of preparatory infrastructure measures for e-mobility,"Awareness-raising measures, cost-effectiveness measures","Promotion of e-mobility, promotion of economic efficiency",Budget Country of Tyrol,Department of Housing Development; Office of the Tyrolean State Government,Facilitating the achievement of the electromobility target,Ongoing implementation,,
AT_150,Prevention and high-quality treatment of construction and demolition waste,"Prevention and high-quality treatment of construction and demolition waste in accordance with Directive 2008/98/EC of the European Parliament and of the Council of 19 November 2008 on waste and repealing certain Directives, in particular with regard to waste management, and the objectives of the circular economy In Austria, the Recycling Building Materials Ordinance – RBV has created a very essential toolbox to ensure the widest possible reuse of construction and demolition waste, as far as possible in line with environmental protection rules. The competent ministry is currently in the process of drawing up a ‘Bo denausggerverordnung’, which pursues the same objectives as the RBV with regard to the excavation and removal materials generated as waste in the context of construction activities and is intended to supplement them. Measures and strategies were mainly • in the Austrian Circular Economy Strategy 2022; Chapter 4.1. Construction industry and infrastructure • in the 2023 Austrian Waste Prevention Programme in Table 1: Catalogue of measures in the ‘Construction’ action area, which is part 3 of the 2023 Federal Waste Management Plan; • in the Upper Austrian State Waste Management Plan 2024, Chapter 5 ‘Objectives and Measures’, Table ‘4.6. Waste from construction’.","support programmes, legislative measures, education and training measures, Awareness-raising activities",according to Recycling Building Materials Ordinance - RBV,from the current budget of the state of Upper Austria,Federal Government and Land,"Prevention, reuse, recycling and high-quality treatment of construction and demolition waste",constantly,Ongoing since 2015,constantly
AT_151,Prevention and high-quality treatment of construction and demolition waste,"Prevention and high-quality treatment of construction and demolition waste in accordance with Directive 2008/98/EC of the European Parliament and of the Council of 19 November 2008 on waste and repealing certain Directives, in particular with regard to waste management, and the objectives of the circular economy. In Austria, the Recycling Building Materials Regulation was created with the aim of promoting circular economy and material efficiency, in particular the preparation for the reuse of components and ensuring a high quality of recycled building materials, in order to promote the recycling of construction or demolition waste within the meaning of EU law targets. Measures and strategies were mainly • in the Austrian Circular Economy Strategy 2022; Chapter 4.1 Construction and infrastructure; • the Austrian Waste Prevention Programme 2023 in Table 1: Catalogue of measures in the ‘Construction’ action area, which is part 3 of the 2023 Federal Waste Management Plan; • State Waste Management Plan Styria 2024, Link: https://www.abfallwirtschaft.steiermark.at/cms/bei- trag/10177492/136114083 • The Styrian Building Residual Mass Guide, Link: https://www.abfallwirtschaft.steier- mark.at/cms/ziel/04374056/EN • Housing promotion Styria",S tate Waste Management Plan Styria 2024 Link: https://www.abfallwirtschaft.steiermark.at/cms/bei- trag/10177492/136114083 Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/ Housing promotion Styria Link: https://www.wohnbau.steiermark.at,Link: https://wwwwohnbausteiermarkat Hierarchical deepening of the waste hierarchy • Waste prevention • Preparation for reuse • recycle • Other recovery,"Department 15 Energy, Housing and Technology Department 14 Water Management, Resources & Sustainability","Department 13 Environment and Spatial Planning Department 14 Water Management, Resources & Sustainability Department 15 Energy, Housing and Technology",The aim of the regulation is to prevent and treat construction and demolition waste in the highest possible quality.,"Ongoing addition and update of the Styrian Building Remains Guide, most recently e.g. Guide for municipalities: ""The implementation of the circular economy in construction"" (2023); 28 new technical information sheets on ecologi cal building materials (2024/25).",constantly,constantly
AT_152,Preventive measures to reduce and eliminate market barriers and market failures,The aim is to address market barriers and market failures in the construction sector through central contact points and training centres providing the training and further training offered.,"Awareness-raising measures, cost-effectiveness measures",Avoidance of market barriers and market failures in the construction,"Budget from Landing Resources, Budget WKO; Own Resources Training Institutions","Energy Agency Tyrol, Austrian Chamber of Commerce, Federal Forestry Institute",Minimization to avoid market barriers and market failures,Ongoing implementation,,
AT_153,Program SUSA II (School Rehabilitation Program),The thermal-energetic refurbishment of schools at a rate of up to 80% of the total costs is supported.,Financial support measures,Thermal-energy renovation of 50 school buildings,Around €700 million,"Business Group for Housing, Housing, Urban Renewal and Women","mainly the reduction of fossil fuels, the reduction of energy consumption in school buildings and the repair of buildings with desubstance.",constantly,2018,perpetual
AT_154,Programme - DoTank Circular City Vienna 2020-2030,,Implementation programme,,,"Magistrates' Directorate, Buildings and Technology Division, Department for Resource Conservation and Sustainability in Construction",Circular planning and construction is standard in the city of Vienna,constantly,2020,by 2030
AT_155,Programme IKA 45 (Vienna Office Building),"Here, the thermal-energetic overall remediation or individual thermal measures are promoted.",Financial support measures,,Around €50 million per year,"Business Group for Housing, Housing, Urban Renewal and Women","mainly the reduction of fossil fuels, the reduction of energy consumption in official buildings and the repair of buildings.",constantly,2025,2025 - 2045
AT_156,Programme – Get out of gas,"Vienna wants to become a climate model city by 2040. In order to achieve this, the heat supply in buildings must also become independent of fossi len energy sources such as oil, gas and coal. In concrete terms, this means that district heating or solutions based on renewable energies are needed for heating around 600,000 households and around 260,000 cooking gas appliances, which together currently account for almost 90 percent of CO2 emissions in the Viennese building sector. https://www.wien.gv.at/environment/programme-out-of-gas",Implementation programme,Upgrading Vienna's building stock to zero-emission heat supply by 2040.,subsumed in the budget of the Recovery and Decarbonisation Ordinance 2024,"Business Group for Housing, Housing, Urban Renewal and Women",Emission-free heating by 2040,constantly,2022,constantly
AT_157,Project RENOWAVE.AT,"The innovation laboratory RENOWAVE.AT will act as a one-stop-shop for cooperation on innovation projects and provide and promote systematic and early access to innovative, scalable refurbishment concepts and sustainable refurbishment technologies in real development environments (Open Innovation Principle).",,"The aim is to double the annual energy renovation rate of buildings by 2030 and this requires extensive renovation work. In doing so, RENOWAVE.AT positions forward-looking refurbishment technologies, the development and implementation of comprehensive solutions for a greenhouse gas-neutral building stock and their potential/effects for solving future challenges (energy transition, financing, etc.), promotes the development of the smart city and implements associated awareness- raising measures. RENOWAVE.AT is a long-term and continuous source of inspiration for the realization of many building renovations and several renovated districts throughout Austria. The topics and contents are processed and advanced in the organizational form of a cooperative. RENOWAVE.AT builds on and supports existing structures in Austria.",,"Federal Ministry for Innovation, Mobility and Infrastructure (BMIMI) Funded by the State of Styria, Department 15 Energy, Housing and Technology",New impetus for the highly efficient energy-efficient refurbishment of residential buildings and quarters,constantly,27 October 2023,constantly
AT_158,"Promoting district and neighbourhood concepts and integrated renovation programmes at district level that can take into account issues such as energy, mobility, green infrastructure, waste and water treatment and other aspects of urban planning such as local and regional resources, circular economy and sustainability",District and district development concepts that take into account issues such as energy (in particular district heating) and mobility (in particular charging points for electric mobility) are currently supported by the Department for Construction Law and Spatial Planning.,,,,,,,,
AT_159,Promoting major renovations of buildings,"In Upper Austria, housing subsidies support the extensive renovation and gradual renovation of buildings; see e.g. https://www.landoberoesterreich. gv.at/12819.htm. The Land Upper Austria also promotes the thermal renovation of buildings to improve thermal insulation for commercial buildings; see https://www.land-oberoesterreich.gv.at/187193.htm.",Federal and state funding programmes,extensive renovations,from the current budget of the Federal Government and the State of Upper Austria,Federal Government and Land,"Renovation of the national stock of residential and non-residential buildings into a highly energy efficient and decarbonised building stock by 2050, with the aim of converting existing buildings into zero-emission buildings.",constantly,Ongoing since 2003,constantly
AT_160,Promoting modular and industrialised solutions for construction and building renovation,"Housing promotion currently, the support system is not specifically geared to this (directly - indirectly, possibly via cost ceilings). Housing research Project ‘Südsan’: The buildings with 5 and 10 residential units respectively are representative of the market segment of smaller multi-family houses from the 1920s to the 1960s, which accounts for about 13 percent of residential buildings in Austria. They were almost in their original condition, had very poor thermal insulation and were heated exclusively by individual furnaces and/or direct-electric heating systems. These buildings have been energetically refurbished to a high standard. The refurbishment was accompanied and insights were gained for further refurbishments (https://www.energieinstitut.at/forschung-und- projekte/suedsan-mo- dellsanierungs-in-der-suedtiroler-siedlung-bludenz. Project ‘Building typology multi-family houses in Vorarlberg’ (EIV): Planned follow-up project to KliNaWo for the area of renovation - develop and prepare various renovation variants for the most important MFH building types (multiannual) - gains in knowledge on the design of the future residential renovation directive. Project ‘VOGEWOSI Sanie rung 9er Haus’: Project for the standardised renovation of the ‘9er Haus’ building type, which is widely used in Vorarl berg.",,,,,,,,
AT_161,Promoting smart technologies and infrastructures in buildings for sustainable mobility,"There are different subsidies, e.g. in Upper Austria the support for the construction of a charging infrastructure for multi-storey residential construction.",Funding programmes,in accordance with the AFIR Regulation ((Alternative Fuels Infrastructural Regulation (EU) 2023/1804),from the current budget of the Federal Government and the State of Upper Austria,Federal Government and Land,According to AFIR Regulation,constantly,2015,constantly
AT_162,Promoting smart technologies and infrastructures in buildings for sustainable mobility,"encouragement ‘Charging infrastructure in existing multi-apartment buildings’ means promoting the retrofitting of charging infrastructure for e-mobility in existing multi-apartment buildings. Including the retrofitting of car-sharing pitches. Construction law . It examines the need to adapt Sections 41c and 41d of the Construction Technology Ordinance to the requirements of Article 13 of Directive (EU) 2024/1275 (technical building systems). . Furthermore, an adaptation of Section 42a of the Construction Technology Regulation with regard to Article 14 of Directive (EU) 2024/1275 on sustainable mobility) and an adaptation of the parking space regulations with regard to the necessary parking spaces for electric vehicles and (electric) bicycles will be examined.",,,,,,,,
